player_name,injury_type,injury_date,recovery_days,clearance_date,current_fitness_status
Mohsin Khan,Severe blood clots in bowling arm,2022-05-15,351,2023-05-01,Active
Jonny Bairstow,Broken leg and dislocated ankle,2022-09-02,272,2023-06-01,Active
Anrich Nortje,Severe lumbar spine stress fracture,2023-09-15,177,2024-03-10,Active
Jason Behrendorff,Broken leg fracture,2024-03-15,170,2024-09-01,Active
Shane Watson,Bleeding left knee gash,2019-05-12,10,2019-05-22,Retired
Chris Gayle,Groin tear & hamstring flare-up,2014-04-15,19,2014-05-04,Retired
Kevin Pietersen,Achilles tendon & calf muscle tear,2016-04-22,228,2016-12-01,Retired
Dwayne Bravo,Severe shoulder and collarbone fracture,2014-04-18,105,2014-08-01,Retired
Paul Valthaty,Severe wrist injury & vision issue,2012-04-15,183,2012-10-15,Retired
Zaheer Khan,Left latissimus dorsi muscle strain,2014-05-03,182,2014-11-01,Retired
Lasith Malinga,Chronic left knee bone bruise,2015-11-15,444,2017-02-01,Retired
Kieron Pollard,Severe knee ligament tear,2015-11-15,147,2016-04-10,Retired
Chris Lynn,Dislocated left shoulder,2017-04-09,31,2017-05-10,Retired
Lakshmipathy Balaji,Severe lower-back stress fracture,2008-05-10,144,2008-10-01,Retired
Virender Sehwag,Right shoulder lesion,2009-05-23,101,2009-09-01,Retired
Yuvraj Singh,Ankle ligament tear,2014-04-02,29,2014-05-01,Retired
Michael Hussey,Ruptured hamstring tendon,2011-01-16,105,2011-05-01,Retired
AB de Villiers,Severe back spasms,2017-04-01,11,2017-04-12,Retired
Sachin Tendulkar,Fractured left hand/wrist tendon,2013-05-28,126,2013-10-01,Retired
Glenn Maxwell,Side strain muscle pull,2016-05-15,21,2016-06-05,Active
Kedar Jadhav,Severe Grade-3 hamstring tear,2018-04-07,147,2018-09-01,Retired
Lungi Ngidi,Nasty ankle injury & fall sprain,2026-04-25,45,2026-06-09,In Rehab
Atharva Ankolekar,Severe knee ligament injury,2026-03-10,150,2026-08-07,In Rehab
Eshan Malinga,Shoulder dislocation joint damage,2026-02-10,120,2026-06-10,In Rehab
Matthew Short,Fractured thumb (Right hand),2026-03-15,35,2026-04-19,Active
Saurabh Dubey,Side strain muscle pull,2024-04-05,25,2024-04-30,Active
Ishan Kishan,Groin strain,2025-04-10,14,2025-04-24,Active
Suryakumar Yadav,Sports hernia surgery & ankle tear,2023-12-14,111,2024-04-04,Active
Mitchell Marsh,Right hamstring tear (High grade),2024-04-03,51,2024-05-24,Active
David Warner,Left hand finger inflammation,2024-04-12,20,2024-05-02,Active
Shikhar Dhawan,Right shoulder joint injury,2024-04-09,46,2024-05-25,Active
Wanindu Hasaranga,Chronic heel pain & hamstring strain,2024-03-25,65,2024-05-29,Active
Robin Minz,Motorcycle crash knee injury,2024-03-03,90,2024-06-01,Active
Jason Roy,Personal reasons & calf tightness,2024-03-10,30,2024-04-09,Active
Gus Atkinson,Right quad workload management,2024-03-14,40,2024-04-23,Active
Mark Wood,Right elbow bone stress,2024-03-05,95,2024-06-08,Active
Prithvi Shaw,Posterior cruciate ligament (PCL) tear,2023-08-13,180,2024-02-09,Active
Axar Patel,Left quad strain,2023-09-15,36,2023-10-21,Active
Nitish Rana,Left finger tendon fracture,2024-03-23,41,2024-05-03,Active
Trent Boult,Side strain soreness,2023-04-02,12,2023-04-14,Active
Lockie Ferguson,Hamstring strain pull,2023-04-01,15,2023-04-16,Active
Kyle Jamieson,Back lumbar stress fracture spine,2023-02-10,240,2023-10-08,Active
Jhye Richardson,Hamstring strain recovery surgery,2023-03-02,150,2023-07-30,Active
Kamlesh Nagarkoti,Left foot stress fracture bone,2023-04-15,90,2023-07-14,Active
Washington Sundar,Hamstring strain grade 2 tear,2023-04-24,40,2023-06-03,Active
Ravindra Jadeja,Rib injury bruise,2022-05-08,28,2022-06-05,Active
Tymal Mills,Right ankle joint injury sprain,2022-05-04,30,2022-06-03,Active
Ajinkya Rahane,Grade 3 hamstring tendon rupture,2022-05-14,60,2022-07-13,Active
T Natarajan,Left knee meniscus tear surgery,2021-04-15,120,2021-08-13,Active
Ben Stokes,Left hand index finger fracture,2021-04-12,90,2021-07-11,Active
Amit Mishra,Right ring finger tendon injury,2020-10-03,45,2020-11-17,Retired
Ishant Sharma,Left rib cage side muscle strain,2020-10-10,35,2020-11-14,Active
Bhuvneshwar Kumar,Thigh muscle tear grade 2,2020-10-02,60,2020-12-01,Active
Dwayne Bravo,Right groin tear muscle sprain,2020-10-17,21,2020-11-07,Retired
Kagiso Rabada,Lower back stiffness stress injury,2018-04-05,45,2018-05-20,Active
Murali Vijay,Right wrist bone fracture rehab,2017-03-25,90,2017-06-23,Retired
Ravichandran Ashwin,Sports hernia abdominal inflammation,2017-03-30,50,2017-05-19,Active
Luvnith Sisodia,Severe hamstring pull during training,2026-05-18,18,2026-06-05,Recovered
Ruchit Ahir,Wicketkeeping finger dislocation,2026-05-10,25,2026-06-04,Recovered
Emanjot Chahal,Ankle inversion sprain,2026-05-15,30,2026-06-14,In Rehab
Ravi Singh,Quadriceps muscle tendon tear,2026-05-02,60,2026-07-01,In Rehab
Ramakrishna Ghosh,Shoulder subluxation fielding injury,2026-04-28,42,2026-06-09,In Rehab
Macneil Noronha,Ankle ligament tweak,2026-05-12,14,2026-05-26,Active
RS Ambrish,Groin strain grade 1,2026-04-20,20,2026-05-10,Active
Shivam Mavi,Right elbow inflammation recurrence,2026-04-15,75,2026-06-29,In Rehab
Ayush Mhatre,Shin splints and stress reaction,2025-04-12,35,2025-05-17,Active
Gurjapneet Singh,Lower back muscle spasms,2025-04-05,21,2025-04-26,Active
Vansh Bedi,Knee meniscus minor tear,2025-03-28,45,2025-05-12,Active
Harsh Dubey,Side strain bowling arm,2025-04-18,28,2025-05-16,Active
Smaran Ravichandran,Thigh adductor pull,2025-04-02,15,2025-04-17,Active
Vignesh Puthur,Right shoulder rotator cuff strain,2025-03-25,60,2025-05-24,Active
Raghu Sharma,Finger laceration webbing tear,2025-04-22,12,2025-05-04,Active
Urvil Patel,Wrist sprain while batting,2025-05-01,18,2025-05-19,Active
Lhuan-dre Pretorius,Right quad stiffness,2025-05-03,14,2025-05-17,Active
Sediqullah Atal,Ankle roll during warm-up,2025-03-29,24,2025-04-22,Active
Allah Ghazanfar,Knee joint inflammation,2025-03-10,40,2025-04-19,Active
Vaibhav Sooryavanshi,Early-stage groin soreness,2026-03-15,15,2026-03-30,Active
Angkrish Raghuvanshi,Thumb impact bruising,2025-04-20,10,2025-04-30,Active
Vaibhav Arora,Right side intercostal strain,2025-05-02,25,2025-05-27,Active
Sameer Rizvi,Right hamstring strain grade 1,2025-04-14,19,2025-05-03,Active
Abhishek Porel,Wicketkeeping glove impact finger bruise,2025-04-28,7,2025-05-05,Active
Madhav Tiwari,Shin splints workload issue,2025-04-02,30,2025-05-02,Active
Tripurana Vijay,Spin finger blister raw skin,2025-05-04,10,2025-05-14,Active
Vipraj Nigam,Side strain abdominal pull,2025-04-10,22,2025-05-02,Active
Rasikh Salam,Triceps tendonitis bowling arm,2025-04-25,18,2025-05-13,Active
Kumar Kushagra,Lower back stiffness,2025-05-01,8,2025-05-09,Active
Gurnoor Brar,Ankle ligament minor tweak,2025-04-15,16,2025-05-01,Active
Prabhsimran Singh,Wrist impact soreness,2025-04-11,11,2025-04-22,Active
Ramandeep Singh,Heel contusion running injury,2025-04-19,14,2025-05-03,Active
Suyash Sharma,Ankle roll fielding practice,2025-03-30,21,2025-04-20,Active
Anukul Roy,Groin tightness grade 1,2025-04-24,12,2025-05-06,Active
Yash Dayal,Lower back spasm stiffness,2025-04-08,15,2025-04-23,Active
Vijaykumar Vyshak,Right quad strain bowling,2025-04-17,20,2025-05-07,Active
Manoj Bhandage,Forearm muscle strain impact,2025-05-02,14,2025-05-16,Active
Mayank Markande,Spin finger skin tear,2025-04-29,10,2025-05-09,Active
Kartik Tyagi,Thigh high-grade muscle pull,2025-03-24,42,2025-05-05,Active
Nehal Wadhera,Knee contusion sliding injury,2025-04-13,12,2025-04-25,Active
Akash Madhwal,Right shoulder capsule soreness,2025-05-01,24,2025-05-25,Active
Shams Mulani,Spin finger blister,2025-04-10,9,2025-04-19,Active
Naman Dhir,Quad strain running between wickets,2025-04-26,16,2025-05-12,Active
Ravi Teja,Side strain bowling impact,2025-04-14,22,2025-05-06,Active
Sanvir Singh,Groin pull sliding stop,2025-04-19,15,2025-05-04,Active
Nitish Kumar Reddy,Right shoulder fatigue workload,2025-05-05,10,2025-05-15,Active
Atharva Taide,Thumb tip fracture impact,2025-04-01,32,2025-05-03,Active
Vidwath Kaverappa,Right hamstring tweak,2025-04-22,18,2025-05-10,Active
Vishnu Vinod,Left forearm fracture nets injury,2024-03-20,55,2024-05-14,Active
